date;respo;broker;address;ville;code_postal;asset_type;surface;surface_loue;occupancy_rate;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;prix_m2;surface_office
;EHB;Antoine Guicheteau;140 Chemin de Groslay;Bondy;93140;Light Industrial;982;982;100%;;;72000;73;70;68740;991820;1010;
;EHB;Mikael Nataf;2 Allée des Performances ;Noisy le Grand;93160;Light Industrial;2600;0;0%;;;;;65;169000;2620000;1008;
;ZK;Pascal Voisin;49 Avenue Henry Barbusse;Bobigny;93000;Light Industrial;3600;0;0%;; Privé;;;;;3200000;889;
;EHB;DL REAL ESTATE;6 Avneue Evariste Gallois;Savigny sur Orge;91600;Light Industrial;3050;1550;51%;;;121792;79;80;244000;2600000;852;
;EHB;Antoine Guicheteau;6 Allée Jean Monnet;Collegien;77090;Light Industrial;2793;0;0%;;;;;69;192717;2350000;841;
;EHB;Arthur Rodriguez;14 rue Henri Dunant;Bondoufle;91070;Light Industrial;4993;4993;100%; STACI;;264600;53;52;259636;4000000;801;
;EHB;Enguerrand de Villette (CBRE);13 Boulevard des Martyrs de Chateaubriant;Argenteuil;95100;Light Industrial;1615;1615;100%; Office Depot;;106231;66;65;104975;1250000;774;
;EHB;JP Duchenoy;8 Avenue de Bourgogne;Saint Ouen L'Aumone;95310;Light Industrial;2359;2359;100%; Bureau Veritas;;144368;61;60;141540;1800000;763;
;EHB;KW;8 Avenue de Bourgogne;Saint-Ouen-l'Aumône;95310;Light Industrial;2413;2413;100%; Bureau Veritas & PDI Imprimerie;;144368;60;60;144780;1800000;746;
;EHB;Florian Lachaussée (JLL);10 Avenue Ampère;Wissous;91320;Light Industrial;7365;0;0%;;;;;80;589200;5000000;679;
;EHB;Charles Albert;225 Rue de la Justice;Vaux le Penil;77000;Light Industrial;2022;2022;100%; Canon;;120000;59;60;121320;1350000;668;
;EHB;Charles Albert;7 avenue du Fief;Saint Ouen L'Aumone;95310;Light Industrial;3896;3896;100%; CGTT;;215000;55;55;214280;2600000;667;
;EHB;Nancy Bizet;48 Rue Paul Lescop;Nanterre;92000;Light Industrial;4033;1523;38%; Electrolab; privé;80000;53;80;280800;2600000;645;
;EHB;Raphael Lucaz;1 rue des Alouettes;Thiais;94320;Light Industrial;19788;0;0%;;;;;65;1286220;12600000;637;
;;Frédéric Bazil (DBXConseil) puis Babylone;14 avenue de l’Europe;Bussy-Saint-Georges;77600;Light Industrial;5069;2803;55%;;;141245;50;;;3100000;612;
;EHB;Olivier Lambin;8 Avenue Ampère;Wissous;91320;Light Industrial;3661;3661;100%;;;180000;49;50;183050;2200000;601;
;EHB;Stephane Berry;25 rue Louis Ampère;Neuilly sur Marne;93330;Light Industrial;5733;5618;98%;;;299854;53;50;286650;3360000;586;
;EHB;Olivier Lambin; 6 Avenue de la Croix Boisselière;Morangis;91420;Light Industrial;4600;0;0%;;;;;55;253000;2600000;565;
;;Steeven Bonnet (Nexity);135 rue des pêchers;Plaisir;78370;Light Industrial;4300;0;0%;;;;;45;193500;2400000;558;
;EHB;Antoine Guicheteau (Nexity);4 rue des malines;Lisses;91090;Light Industrial;5500;0;0%;;;;;46;253000;2800000;509;
;EHB;Astesana;6 Avenue des 3 peuples;Montigny;78180;Light Industrial;16263;0;0%;;;;;45;731835;5300000;326;
;ZK;Ariel Marelli;2 rue Denis Diderot;Elancourt;78990;Light Industrial;38789;0;0%;;;;0;50;1939450;9000000;232;
;EHB;Geoffroy D'Arche;24 rue des Fontelles;Ecquevilly;78920;Light Industrial;2469;2469;100%;;;128946;52;50;123450;1500000;608;
;EHB;Julien Mateos BNP;107 avenue henri barbusse;Clichy;92110;Retail;1966;0;0%;;;;;;;6900000;;
;EHB;Arthur Rodriguez (CBRE);57 Rue du Bois Challand;Lisses;91090;Light Industrial;2902;0;0%;;;;;60;174120;2200000;758;
